CityID,City,Country,Latitude,Temperature (F),Humidity %,Wind (MPH),Cloud %
1633070,Palembang,ID,-2.99,75.27,97,2.71,92
2034400,Tongliao,CN,43.61,53.8,39,15.79,0
2377457,Nouadhibou,MR,20.93,78.8,50,16.11,0
3397967,Itaituba,BR,-4.26,73.74,98,3.6,100
3374218,Santa Maria,CV,16.6,83.41,65,18.34,75
2253354,Dakar,SN,14.69,89.6,46,4.7,0
1789647,Xichang,CN,27.88,50.65,46,1.92,0
3471451,Arraial do Cabo,BR,-22.97,77.0,83,5.82,75
4031742,Egvekinot,RU,66.32,15.91,85,2.48,92
5563839,Fortuna,US,40.6,57.0,100,4.7,90
5861897,Fairbanks,US,64.84,0.55,86,7.74,1
3130131,Amposta,ES,40.71,62.6,55,4.7,20
3514592,Xalpatlahuac,MX,17.47,58.89,100,1.92,64
3420846,Qaqortoq,GL,60.72,17.6,61,1.12,20
6696260,Matane,CA,48.83,34.7,93,4.7,90
1151464,Phangnga,TH,8.45,81.32,69,4.7,40
2155562,Nelson Bay,AU,-32.72,82.4,42,10.29,40
1267390,Kavaratti,IN,10.57,86.34,98,5.5,48
4032243,Vaini,TO,-21.2,66.2,82,6.93,20
1789001,Kaihua,CN,29.14,57.85,63,5.95,92
2167426,Emerald,AU,-23.53,75.18,50,13.78,0
702477,Lyubech,UA,51.7,50.43,74,15.01,92
1816080,Cangzhou,CN,38.3,53.58,47,9.08,0
2119447,Yuzhno-Kurilsk,RU,44.03,49.71,100,9.42,0
1805733,Jinchang,CN,38.52,33.06,79,3.94,64
3033415,Berck,FR,50.41,51.8,57,8.05,0
1317402,Kyaikkami,MM,16.08,81.79,76,1.25,0
3928043,Talavera,PE,-13.65,48.2,66,1.7,75
1791121,Changde,CN,29.04,56.05,66,3.49,36
5367788,Lompoc,US,34.64,51.13,52,2.71,1
2025241,Churapcha,RU,62.0,18.93,67,13.78,32
4014501,Charcas,MX,23.13,38.95,80,2.48,0
3274966,Lauda-Konigshofen,DE,49.57,52.32,66,2.24,75
1735902,Sibu,MY,2.29,80.6,94,2.71,75
2740174,Custoias,PT,41.11,61.18,77,4.72,24
2014624,Udachnyy,RU,66.42,3.09,71,3.94,68
3386177,Trairi,BR,-3.28,80.22,100,19.04,64
3393692,Itarema,BR,-2.92,83.64,73,11.99,88
2012530,Zhigansk,RU,66.77,1.69,59,7.29,48
2270385,Camacha,PT,33.08,68.79,68,12.75,75
943960,Viljoenskroon,ZA,-27.21,79.81,24,2.37,0
6071421,Meadow Lake,CA,54.13,30.2,92,10.29,75
4282757,Ashland,US,38.48,48.92,70,9.17,90
878141,Madimba,TZ,-10.4,86.0,66,11.41,40
5404476,Ukiah,US,39.15,48.92,86,3.04,1
187896,Mandera,KE,3.94,94.03,38,6.62,8
5848280,Kapaa,US,22.08,75.33,81,13.87,20
505820,Povenets,RU,62.85,35.26,94,3.38,88
57000,Hobyo,SO,5.35,83.64,65,12.77,0
1527497,Kyzyl-Suu,KG,42.34,30.85,100,8.08,8
2147756,Swan Hill,AU,-35.34,68.65,33,17.47,0
939676,Willowmore,ZA,-33.3,69.64,20,4.61,20
1217734,Boysun,UZ,38.2,28.38,92,1.59,20
115770,Shahr-e Kord,IR,32.33,51.8,21,13.87,75
107304,Buraydah,SA,26.33,66.2,77,11.41,75
1006984,East London,ZA,-33.02,68.0,56,13.87,40
2383523,Paoua,CF,7.24,80.89,88,5.17,44
3141332,Roros,NO,62.57,35.6,100,6.93,75
2155415,New Norfolk,AU,-42.78,50.0,71,12.75,40
3461576,Ibirama,BR,-27.05,62.58,99,4.5,92
1643837,Gorontalo,ID,0.54,75.49,92,2.15,56
3386213,Touros,BR,-5.2,83.5,74,14.0,36
3388847,Sao Felix do Xingu,BR,-6.64,74.95,98,2.15,76
149658,Tabora,TZ,-5.02,89.6,33,11.41,75
728674,Obzor,BG,42.82,61.7,72,11.41,40
2121385,Severo-Kurilsk,RU,50.68,40.3,100,20.71,56
3894426,Coihaique,CL,-45.58,40.77,70,3.36,0
1045114,Inhambane,MZ,-23.87,78.8,74,11.41,75
2511180,Santa Cruz de la Palma,ES,28.68,75.2,60,11.41,40
241131,Victoria,SC,-4.62,82.4,78,12.75,75
3359638,Walvis Bay,NA,-22.95,71.6,56,11.41,0
5208292,Arroyo,US,41.39,55.63,83,20.8,40
174448,Abu Kamal,SY,34.45,74.46,33,6.4,0
2092740,Lae,PG,-6.72,68.74,100,2.04,20
3573197,Hamilton,BM,32.3,73.4,60,10.29,90
2122293,Ozernovskiy,RU,51.5,39.09,94,18.03,88
1849876,Tateyama,JP,36.66,51.8,76,3.36,40
3374120,Vila do Maio,CV,15.13,86.0,58,23.04,75
964432,Port Alfred,ZA,-33.59,65.5,82,9.42,0
1258492,Nalbari,IN,26.45,78.8,83,2.71,40
2178753,Kirakira,SB,-10.46,82.06,100,20.49,76
2108857,Gizo,SB,-8.1,83.73,100,16.24,92
5871146,Palmer,US,61.6,11.32,84,2.04,90
2088122,Port Moresby,PG,-9.47,80.6,78,6.93,0
3144987,Beisfjord,NO,68.38,50.0,87,17.22,0
3863379,Mar del Plata,AR,-46.43,54.7,70,3.71,0
2015852,Svetlaya,RU,46.54,44.98,100,8.41,0
572154,Borovichi,RU,58.39,41.65,91,10.76,92
2075720,Broome,AU,-17.97,84.2,66,8.05,0
1796340,Shancheng,CN,26.9,54.7,99,2.15,100
1503037,Kodinsk,RU,58.6,16.99,50,7.74,64
3899695,Ancud,CL,-41.87,46.83,99,3.27,88
1490256,Talnakh,RU,69.49,5.83,73,11.77,64
2126785,Belaya Gora,RU,68.54,5.83,82,2.93,76
6096551,Pangnirtung,CA,66.15,15.8,52,10.29,20
1822207,Sisophon,KH,13.59,80.26,67,4.16,24
5279436,Wisconsin Rapids,US,44.39,28.27,100,4.94,1
6100799,Pemberton,CA,50.32,39.27,100,1.48,88
2122090,Pevek,RU,69.7,8.58,100,4.72,64
6148373,Sioux Lookout,CA,50.1,26.24,100,4.7,75
3896218,Castro,CL,-42.48,46.38,97,1.7,68
5795906,Graham,US,47.04,55.96,100,8.05,90
3981432,Todos Santos,MX,23.45,64.09,82,5.82,5
2294877,Tamale,GH,9.4,91.69,59,7.63,56
2112802,Hasaki,JP,35.73,47.35,93,2.24,40
328709,Shambu,ET,9.57,69.73,76,3.49,36
3361142,Springbok,ZA,-29.67,83.46,8,11.43,0
2090021,Namatanai,PG,-3.66,80.04,100,3.38,64
2449893,Tessalit,ML,20.2,89.67,27,10.09,0
2093691,Kokoda,PG,-8.88,62.31,92,1.7,0
1276355,Bhadasar,IN,28.3,88.36,24,6.73,32
1273246,Deogarh,IN,21.53,78.73,75,3.04,12
3423146,Ilulissat,GL,69.22,15.8,56,13.87,75
4398730,Moberly,US,39.42,41.67,100,3.36,90
4267710,Sitka,US,37.17,46.78,51,12.44,36
2163355,Hobart,AU,-42.88,50.0,54,12.75,40
1881727,Baisha,CN,19.23,69.55,66,3.38,0
3883457,Lebu,CL,-37.62,56.05,96,24.52,88
2991772,Morlaix,FR,48.58,53.58,62,1.12,0
2121025,Srednekolymsk,RU,67.46,7.32,84,4.05,48
3577430,Road Town,VG,18.42,80.89,78,10.29,40
2194098,Ahipara,NZ,-35.17,51.78,100,9.31,32
2017155,Saskylakh,RU,71.97,3.49,82,10.65,64
2636790,Stornoway,GB,58.21,46.4,75,11.41,20
525426,Sobolevo,RU,54.43,46.06,90,14.56,92
3427833,Tandil,AR,-37.33,44.6,100,8.05,100
1529651,Altay,CN,47.83,0.21,70,2.04,0
4031574,Provideniya,RU,64.42,37.24,100,18.48,76
2152668,Portland,AU,-33.35,68.11,77,7.85,36
4391812,Independence,US,39.09,45.93,93,5.82,90
2029947,Moron,MN,47.38,30.85,66,13.33,88
1803841,Lianzhou,CN,24.79,57.85,72,1.59,48
4030556,Rikitea,PF,-23.12,71.89,100,16.46,88
4035715,Avarua,CK,-21.21,75.2,69,8.05,40
5554428,Ketchikan,US,55.34,48.67,89,18.34,90
2059470,Victor Harbor,AU,-35.55,62.6,72,16.11,20
1529376,Korla,CN,41.76,41.07,60,5.61,88
4036284,Alofi,NU,-19.06,73.4,88,5.82,75
3161622,Berkak,NO,62.83,39.72,83,4.27,88
1532612,Yekaterinoslavka,RU,54.34,31.17,80,12.66,88
1487332,Verkhnyaya Inta,RU,65.99,28.6,77,5.95,80
576093,Blagoyevo,RU,63.37,37.15,96,4.61,92
1497210,Novoagansk,RU,61.94,30.94,88,9.08,92
2156643,Mount Gambier,AU,-37.83,55.56,65,11.21,0
2729907,Longyearbyen,SJ,78.22,24.8,79,23.04,75
2125906,Dukat,RU,62.55,7.86,81,2.82,68
5280854,Wheeling,US,40.06,51.66,76,14.99,90
2644605,Lerwick,GB,60.15,47.3,75,11.41,20
3870282,Talcahuano,CL,-36.72,57.2,87,14.99,75
1734841,Kuala Pilah,MY,2.74,77.0,94,2.24,75
5880568,Bethel,US,60.79,17.06,91,13.87,1
3652567,San Cristobal,EC,-1.02,59.74,100,0.58,68
2137748,Voh,NC,-20.95,73.96,93,18.7,0
3573061,Saint George,BM,32.38,73.4,60,10.29,90
1182787,Bhalwal,PK,32.26,64.29,91,7.63,36
4094455,Tuscaloosa,US,33.21,53.96,80,4.7,90
2025286,Chuguyevka,RU,44.17,25.63,71,2.37,0
1865309,Katsuura,JP,33.93,48.2,87,3.36,40
1661950,Ban Nahin,LA,18.24,72.12,47,4.27,0
1791779,Wanning,CN,18.8,77.61,100,14.9,20
5742974,North Bend,US,43.41,55.4,100,9.17,90
1803331,Linxia,CN,35.6,34.59,85,3.6,12
2022572,Khatanga,RU,71.98,1.83,79,13.44,68
5881688,Fort Saint James,CA,54.43,32.74,100,1.25,92
100926,Umm Lajj,SA,25.02,74.5,100,5.61,76
3395042,Mazagao,BR,-0.12,89.6,59,13.87,20
5983720,Iqaluit,CA,63.75,-0.41,77,12.75,20
1266489,Kishanganj,IN,26.1,82.29,54,2.37,44
2122605,Okhotsk,RU,59.36,17.58,100,3.6,64
2013279,Vostok,RU,46.45,20.05,71,1.92,0
3576994,Cockburn Town,TC,21.46,80.08,100,15.46,92
218253,Bondo,CD,3.81,84.63,69,2.93,56
4021858,Guerrero Negro,MX,27.97,54.16,74,3.94,0
2429605,Koumra,TD,8.92,97.86,33,5.17,0
3443061,Chuy,UY,-33.69,60.64,99,4.72,8
2027044,Batagay,RU,67.65,-3.67,62,3.04,76
1503856,Khabary,RU,53.63,26.76,86,20.94,92
3874787,Punta Arenas,CL,-53.16,46.4,75,5.82,75
4034496,Fare,PF,-16.7,76.75,100,19.93,92
1490036,Tashtyp,RU,52.8,16.99,57,6.17,20
2192362,Christchurch,NZ,-43.53,50.0,81,6.93,92
1529484,Hami,CN,42.84,39.54,54,2.59,56
2172797,Cairns,AU,-16.92,73.4,88,10.29,75
2108502,Honiara,SB,-9.43,77.0,88,3.36,75
1623197,Tual,ID,-5.67,86.34,95,9.64,76
5334223,Carlsbad,US,33.16,55.54,54,0.69,1
6324729,Halifax,CA,44.65,48.09,100,6.93,90
2027296,Aykhal,RU,65.95,2.64,72,4.61,64
2094027,Kieta,PG,-6.22,75.63,100,3.6,92
1794971,Shitanjing,CN,39.23,35.94,74,2.37,0
87205,Darnah,LY,32.77,72.79,100,8.41,0
3369157,Cape Town,ZA,-33.93,80.6,22,11.41,0
1502063,Krasnoturansk,RU,54.32,19.4,52,6.71,0
2058430,Whyalla,AU,-33.04,64.4,72,17.22,0
4033356,Tiarei,PF,-17.53,77.0,78,3.36,40
2510485,Tias,ES,28.96,74.43,64,21.92,40
3394745,Mocajuba,BR,-2.58,83.82,79,3.38,0
2157373,Mittagong,AU,-34.45,75.2,60,6.93,12
964420,Port Elizabeth,ZA,-33.92,66.2,55,16.11,20
2306104,Teshie,GH,5.58,89.6,62,5.82,20
933995,Souillac,MU,-20.52,80.6,69,9.17,40
1861084,Izumo,JP,35.37,50.0,81,5.82,20
1516048,Hovd,MN,48.01,12.85,82,3.38,0
2020738,Litovko,RU,49.24,40.3,73,6.73,0
3149510,Koppang,NO,61.57,33.28,100,2.93,88
496285,Severodvinsk,RU,64.56,39.2,93,6.71,75
3835869,Santiago del Estero,AR,-27.8,72.43,73,8.41,76
50814,Wajid,SO,3.81,90.61,45,5.06,68
2126710,Beringovskiy,RU,63.05,30.99,100,6.4,92
1283318,Janakpur,NP,26.73,80.31,46,1.14,88
608271,Shubarkuduk,KZ,49.15,40.93,51,9.31,0
3698359,Chicama,PE,-7.84,64.4,88,5.82,40
2630299,Hofn,IS,64.25,33.8,59,3.36,0
1496329,Okoneshnikovo,RU,54.84,30.18,81,21.27,92
3456642,Mozarlandia,BR,-14.74,79.09,98,4.27,12
6355222,Yulara,AU,-25.24,89.6,29,6.93,75
1259385,Port Blair,IN,11.67,84.76,98,14.67,0
3466980,Caravelas,BR,-17.73,78.87,96,13.67,80
906221,Mkushi,ZM,-13.61,90.66,27,5.17,56
2219235,Awbari,LY,26.59,80.04,21,8.3,80
1581047,Ha Tinh,VN,18.33,79.68,100,9.42,0
5882953,Aklavik,CA,68.22,6.8,84,2.24,90
6150293,Smoky Lake,CA,54.11,28.02,82,14.45,92
1255647,Srikakulam,IN,18.29,83.19,100,11.65,0
5847411,Kahului,US,20.89,74.46,83,3.36,20
3374210,Sao Filipe,CV,14.9,80.53,88,15.68,12
5975034,High Prairie,CA,55.43,30.76,80,6.62,88
1244926,Hambantota,LK,6.12,81.25,100,4.72,48
2185329,Waipawa,NZ,-39.94,47.37,73,9.75,32
2125693,Evensk,RU,61.92,15.24,100,10.09,32
1605239,Udon Thani,TH,17.4,70.74,64,4.72,0
2411397,Georgetown,SH,-7.93,74.41,100,13.67,20
1254709,Tezu,IN,27.93,63.25,73,1.36,0
3181259,Cairo Montenotte,IT,44.4,57.58,82,10.29,75
2031405,Erdenet,MN,49.03,13.3,72,2.82,64
3115824,Muros,ES,42.77,57.2,93,3.36,75
1489656,Teya,RU,60.37,14.43,54,10.31,64
1650233,Banjar,ID,-7.37,73.78,95,2.37,76
5935341,Dauphin,CA,51.15,25.99,91,5.39,88
157429,Kilindoni,TZ,-7.91,81.39,96,9.75,36
1513714,Kosonsoy,UZ,41.25,39.2,92,9.17,90
2290582,Jackville,CI,5.21,86.0,74,11.41,40
2315026,Kasongo-Lunda,CD,-6.48,82.29,73,3.15,68
933644,Ghanzi,BW,-21.7,94.08,18,10.31,0
3466165,Cidreira,BR,-30.17,67.08,93,5.61,0
1848976,Wajima,JP,37.4,49.62,100,2.93,0
930629,Chipoka,MW,-13.99,80.22,89,2.71,12
4685907,Denton,US,33.22,47.41,85,3.36,1
3416888,Grindavik,IS,63.84,35.6,80,11.41,75
1256067,Sirohi,IN,24.89,87.87,30,2.59,0
4252975,Barrow,US,39.51,35.89,99,3.38,1
556268,Ostrovnoy,RU,68.05,32.74,98,3.6,64
3833062,Venado Tuerto,AR,-33.75,61.86,75,17.25,48
3985710,Cabo San Lucas,MX,22.89,62.6,82,4.7,5
2126199,Cherskiy,RU,68.75,6.33,81,2.71,68
4031637,Lavrentiya,RU,65.58,37.33,100,10.76,88
986717,Kruisfontein,ZA,-34.0,64.02,81,15.01,0
3474574,Palmas,BR,-10.18,82.83,95,4.38,20
4034551,Faanui,PF,-16.48,78.51,100,21.27,64
5969025,Haines Junction,CA,60.75,-7.85,100,2.15,32
6162951,Terrace Bay,CA,48.78,32.0,100,4.7,90
2013258,Vrangel,RU,42.73,49.84,100,5.06,0
4020109,Atuona,PF,-9.8,80.71,100,11.43,0
589922,Karksi-Nuia,EE,58.1,51.46,97,12.66,92
6057856,Liverpool,CA,44.04,53.08,95,13.67,92
265040,Andros,GR,37.83,68.94,72,16.11,0
1805757,Jimo,CN,36.39,53.6,71,4.47,0
3838859,Rio Gallegos,AR,-51.62,50.0,57,4.72,0
3860443,Comodoro Rivadavia,AR,-45.87,53.6,76,5.82,40
3932145,Pisco,PE,-13.71,71.6,30,6.93,90
1847947,Shingu,JP,33.72,62.49,100,4.05,64
3358666,Aranos,NA,-24.14,90.79,9,8.63,0
2022129,Kichera,RU,55.93,11.37,100,6.29,56
5836898,Rock Springs,US,41.59,41.0,75,27.51,75
3395458,Maragogi,BR,-9.01,83.23,79,8.63,0
3833367,Ushuaia,AR,-54.81,45.61,75,4.7,75
1791325,Wuda,CN,39.5,45.03,59,3.49,0
934322,Mahebourg,MU,-20.41,80.6,69,9.17,40
3870243,Taltal,CL,-25.41,56.37,93,0.36,32
546105,Nikolskoye,RU,59.7,46.4,93,8.95,90
2165478,Gladstone,AU,-23.84,67.48,95,7.63,8
2771385,Mittersill,AT,47.28,47.97,76,2.24,75
1693839,Pilar,PH,14.67,83.01,83,5.82,20
2092164,Lorengau,PG,-2.02,80.67,100,10.2,68
933734,Gweta,BW,-20.21,98.08,25,9.31,0
6541759,Mazara del Vallo,IT,37.65,66.2,88,12.75,75
2311968,Nioki,CD,-2.72,77.34,88,3.04,92
3893656,Copiapo,CL,-27.37,57.2,71,9.17,75
2400547,Gamba,GA,-2.72,81.39,92,11.54,0
2392505,Nikki,BJ,9.94,94.17,49,4.5,0
217570,Buta,CD,2.79,84.18,71,3.04,36
2618795,Klaksvik,FO,62.23,41.0,80,8.05,76
5972762,Hay River,CA,60.82,23.0,92,3.36,90
1637001,Biak,ID,-0.91,81.34,83,4.38,12
3835994,Santa Rosa,AR,-36.62,60.69,82,12.21,92
4004293,Ixtapa,MX,20.71,73.4,100,2.04,40
3137469,Sorland,NO,67.67,48.2,61,14.99,75
2014833,Tura,RU,64.27,8.94,69,3.71,12
370481,Marawi,SD,18.48,93.94,25,6.4,0
3374346,Ponta do Sol,CV,17.2,78.55,97,17.69,20
3452956,Porteirinha,BR,-15.74,76.62,86,4.38,88
2074865,Carnarvon,AU,-24.87,71.04,88,17.13,48
3393008,Parintins,BR,-2.63,83.14,73,2.93,12
6089245,Norman Wells,CA,65.28,10.4,92,2.59,75
5972291,Havre-Saint-Pierre,CA,50.23,28.4,100,5.73,20
2519582,Ceuta,ES,35.89,65.62,72,11.41,75
2025256,Chumikan,RU,54.72,39.13,83,9.98,24
3430443,Necochea,AR,-38.55,47.86,93,10.54,92
4798308,Beckley,US,37.78,52.54,86,5.82,75
5826027,Gillette,US,44.29,32.0,85,4.7,90
1799491,Neijiang,CN,29.59,62.53,59,5.39,0
1067565,Beloha,MG,-25.17,85.21,40,14.45,0
3572627,Cockburn Town,BS,24.03,81.16,97,15.57,36
463655,Zenzeli,RU,45.92,51.55,55,18.48,0
1715015,Dicabisagan,PH,17.08,75.72,100,3.15,0
3440777,Rocha,UY,-34.48,57.49,69,5.17,12
934649,Cap Malheureux,MU,-19.98,80.6,69,9.17,40
2877969,Liebenburg,DE,52.02,55.4,62,13.87,75
2123836,Lazarev,RU,52.23,42.06,84,11.77,20
300617,Sivas,TR,39.75,60.8,25,13.87,0
3939168,Huarmey,PE,-10.07,59.83,89,3.94,36
3437443,Pozo Colorado,PY,-23.49,78.51,89,5.06,56
1630789,Pontianak,ID,-0.02,80.26,96,3.38,64
6078372,Moose Factory,CA,51.26,30.2,92,3.36,90
3421719,Narsaq,GL,60.91,17.6,61,1.12,20
1263776,Mangan,IN,27.5,35.04,75,1.48,88
6165406,Thompson,CA,55.74,19.4,85,6.93,40
3394605,Monte Alegre,BR,-2.0,83.86,75,4.61,0
3381428,Iracoubo,GF,5.48,80.53,88,3.94,76
2109528,Buala,SB,-8.15,81.57,93,11.21,76
1785777,Yulin,CN,38.3,51.33,50,16.02,0
3652758,Puerto Baquerizo Moreno,EC,-0.9,68.0,94,4.7,75
6690298,Saint-Louis,RE,-21.27,79.79,65,19.46,75
1275637,Bilaspur,IN,22.08,82.38,57,3.04,0
1507390,Dikson,RU,73.51,22.21,100,9.98,80
2181625,Te Anau,NZ,-45.41,52.18,75,19.04,36
3421765,Nanortalik,GL,60.14,32.65,92,10.98,92
3447658,Sertanopolis,BR,-23.06,71.6,83,3.36,0
1283285,Jumla,NP,29.28,32.97,77,0.58,0
2128975,Nemuro,JP,43.32,50.38,100,8.19,0
2355869,Sapouy,BF,11.55,86.88,67,6.4,12
777682,Skjervoy,NO,70.03,44.6,65,16.11,40
2127202,Anadyr,RU,64.73,17.6,85,11.18,90
1502280,Varlamovo,RU,54.62,39.54,66,17.69,88
2070998,Geraldton,AU,-28.77,64.4,72,19.46,40
3919813,Colomi,BO,-17.34,62.6,67,2.71,75
2018896,Novopavlovka,RU,51.21,17.22,54,5.39,80
212730,Kisangani,CD,0.52,80.71,83,2.37,80
3366880,Hermanus,ZA,-34.42,76.84,33,4.83,0
2620786,Hanstholm,DK,57.12,50.07,99,19.48,76
3139597,Sistranda,NO,63.73,44.6,93,9.17,75
3351014,Camacupa,AO,-12.02,85.21,44,6.29,12
935215,Saint-Philippe,RE,-21.36,79.63,61,19.46,75
3424607,Tasiilaq,GL,65.61,32.0,100,5.82,40
3446974,Tangua,BR,-22.73,74.77,94,4.7,75
